Slug,Ingredient Name,Also Called,Functions,Description,Jenis Kulit Cocok
dicaprylyl-carbonate,Dicaprylyl Carbonate,,emollient,"Dicaprylyl Carbonate adalah bahan pelembap (emolien) berbasis tanaman yang dikenal karena teksturnya yang sangat ringan dan kemampuannya untuk menyerap dengan cepat tanpa meninggalkan rasa lengket atau berminyak. Berfungsi sebagai kondisioner kulit, bahan ini memberikan hasil akhir yang halus dan lembut (velvety finish) serta membantu meningkatkan daya sebar produk kosmetik di atas permukaan kulit. Selain sifat sensorisnya yang unggul, Dicaprylyl Carbonate sering digunakan dalam tabir surya karena kemampuannya yang sangat baik dalam melarutkan filter UV dan membantu penyebaran pigmen secara merata. Sebagai alternatif alami untuk silikon, bahan ini bersifat non-komedogenik sehingga aman digunakan untuk semua jenis kulit, termasuk kulit berminyak dan berjerawat.",Normal
dicaprylyl-ether,Dicaprylyl Ether,,"emollient, solvent","Dicaprylyl Ether adalah bahan berbasis tanaman yang berasal dari asam kaprilat dalam minyak kelapa atau inti sawit yang berfungsi sebagai emolien dan pelarut. Bahan ini sangat populer dalam produk kecantikan karena kemampuannya untuk melembutkan kulit serta memberikan tekstur yang halus, kenyal, dan ringan tanpa rasa lengket. Sebagai pelarut, Dicaprylyl Ether membantu menyatukan bahan-bahan lain dalam formula sekaligus meningkatkan daya sebar produk saat diaplikasikan pada permukaan kulit.",Normal
diethylamino-hydroxybenzoyl-hexyl-benzoate,Diethylamino Hydroxybenzoyl Hexyl Benzoate,"Uvinul A Plus, DHHB",sunscreen,"Diethylamino Hydroxybenzoyl Hexyl Benzoate, yang populer dengan nama dagang Uvinul A Plus, adalah filter UV organik generasi terbaru yang dirancang khusus untuk memberikan perlindungan tinggi terhadap sinar UVA. Bahan ini sangat dihargai karena stabilitas fotonya yang luar biasa, yang berarti ia tidak mudah terurai saat terpapar sinar matahari, sehingga memberikan perlindungan yang tahan lama. Selain mencegah penuaan dini dan kerusakan kulit akibat sinar UVA, bahan ini juga memiliki sifat anti-inflamasi dan sering digunakan dalam produk tabir surya kelas atas karena teksturnya yang ringan dan kompatibilitasnya yang baik dengan bahan kosmetik lainnya.",Normal
diethylhexyl-2-6-naphthalate,"Diethylhexyl 2,6-Naphthalate",,"emollient, solvent","Diethylhexyl 2,6-Naphthalate adalah bahan sintetis multifungsi yang berfungsi sebagai emolien, pelarut, dan penstabil foto (photostabilizer) dalam produk perawatan kulit, terutama tabir surya. Bahan ini sangat efektif dalam melarutkan filter UV padat dan meningkatkan stabilitas Avobenzone agar tidak mudah terurai saat terpapar sinar matahari, sehingga membantu mempertahankan efektivitas perlindungan SPF lebih lama. Selain perannya dalam formula perlindungan matahari, bahan ini memberikan tekstur yang halus, membantu melembapkan kulit, serta memberikan efek kilau (gloss) yang mewah pada hasil akhir produk tanpa rasa lengket yang berlebihan.",Normal
diethylhexyl-butamido-triazone,Diethylhexyl Butamido Triazone,"Iscotrizinol, Uvasorb HEB",sunscreen,"Diethylhexyl Butamido Triazone, yang juga dikenal dengan nama dagang Iscotrizinol atau Uvasorb HEB, adalah agen tabir surya kimia (organik) generasi terbaru yang sangat efektif dalam menyerap radiasi UVB dan sebagian UVA II (pendek) dengan puncak perlindungan pada 310 nm. Bahan ini dikenal karena fotostabilitasnya yang luar biasa, di mana kemampuannya hanya berkurang sekitar 10% setelah 25 jam paparan sinar matahari, jauh melampaui standar filter UV tradisional. Karena sifatnya yang sangat larut dalam minyak dan memiliki berat molekul besar, bahan ini tidak mudah meresap ke dalam kulit, sehingga meminimalkan risiko iritasi serta sangat ideal untuk formula produk yang tahan air (water-resistant) dan tahan keringat. Diethylhexyl Butamido Triazone sering digunakan dalam konsentrasi rendah untuk mencapai nilai SPF yang tinggi, memberikan perlindungan efektif terhadap luka bakar akibat sinar matahari dan kerusakan seluler kronis tanpa rasa lengket pada kulit.",Normal
diethylhexyl-carbonate,Diethylhexyl Carbonate,,emollient,"Diethylhexyl Carbonate adalah cairan bening dan tidak berwarna yang merupakan ester minyak sintetis dengan fungsi utama sebagai emolien dan agen pengkondisi kulit. Bahan ini sangat populer dalam produk perawatan wajah, tubuh, dan tabir surya karena teksturnya yang ringan, tidak berminyak, serta memiliki daya sebar yang sangat baik, memberikan sensasi halus dan lembut (silky-smooth) pada kulit. Selain menjaga kelembapan, Diethylhexyl Carbonate berperan sebagai pelarut yang baik untuk bahan aktif kristalin dan membantu memastikan filter UV tersebar merata dalam formula tabir surya guna meningkatkan efektivitas perlindungan. Karena kemampuannya dalam meningkatkan stabilitas formula tanpa rasa lengket, bahan ini sering digunakan sebagai alternatif yang lebih nyaman untuk memberikan hasil akhir yang matte dan kering.",Normal
diethylhexyl-syringylidenemalonate,Diethylhexyl Syringylidenemalonate,,,"Diethylhexyl Syringylidenemalonate adalah senyawa sintetis yang berfungsi sebagai antioksidan dan penstabil foto (photostabilizer) dalam produk kosmetik. Bahan ini bekerja dengan melindungi formula produk dari kerusakan akibat paparan sinar UV, membantu menjaga stabilitas warna, serta mencegah penguraian bahan aktif yang tidak stabil seperti avobenzone. Selain melindungi integritas produk, bahan ini juga membantu menetralisir radikal bebas pada kulit, meningkatkan nilai SPF, dan memberikan perlindungan tambahan terhadap stres lingkungan yang dapat memicu penuaan dini. Karena sifatnya yang efektif dalam menjaga kualitas formula, bahan ini sering ditemukan dalam tabir surya, pelembap dengan SPF, serta produk riasan wajah dan perawatan rambut.",Normal
diglucosyl-gallic-acid,Diglucosyl Gallic Acid,"Brightenyl, Tri Hydroxy Benzoic acid alpha-Glucosides, THBG",skin brightening,"Diglucosyl Gallic Acid, yang juga dikenal dengan nama dagang Brightenyl, adalah molekul bioteknologi inovatif yang dirancang khusus untuk mencerahkan kulit dan meratakan warna kulit. Bahan ini sangat unik karena bersifat ""microbiome-activated"", yang berarti baru akan aktif secara maksimal setelah berinteraksi dengan mikroorganisme alami di permukaan kulit manusia. Begitu diaplikasikan, mikrobioma kulit mengubah sebagian bahan ini menjadi asam trihidroksibenzoat (THBA), penghambat alami enzim pembentuk melanin.

Bekerja melalui tujuh jalur biologis yang berbeda, bahan ini tidak hanya menghambat produksi melanin untuk mengurangi noda hitam dan hiperpigmentasi, tetapi juga memiliki sifat anti-inflamasi yang kuat untuk meredakan kemerahan (eritema). Selain itu, ia berfungsi sebagai antioksidan yang melindungi DNA kulit dari kerusakan akibat sinar UV dan polusi. Karena pelepasannya yang bertahap dan terkontrol melalui proses enzimatis alami kulit, Diglucosyl Gallic Acid cenderung lebih stabil dan memiliki potensi iritasi yang jauh lebih rendah dibandingkan bahan pencerah tradisional, menjadikannya pilihan yang efektif bahkan untuk kulit sensitif.",Normal
diglycerin,Diglycerin,,"skin-identical ingredient, moisturizer/humectant","Diglycerin adalah bahan pelembap (humektan) yang secara struktural terkait erat dengan gliserin, namun memiliki ukuran molekul yang lebih besar. Hal ini memungkinkannya memberikan hidrasi yang lebih tahan lama pada kulit karena proses penguapannya yang lebih lambat. Selain kemampuannya yang luar biasa dalam mengikat air dan menjaga kelembapan di lapisan epidermis, Diglycerin dikenal memiliki tekstur yang lebih nyaman dan tidak selengket gliserin murni. Dalam formulasi kosmetik, bahan ini juga dapat berfungsi sebagai pelarut dan membantu meningkatkan kualitas busa pada produk pembersih, menjadikannya bahan yang ideal untuk memperkuat sawar kulit (skin barrier) serta memberikan tampilan wajah yang halus dan kenyal.",Normal
diheptyl-succinate,Diheptyl Succinate,,emollient,"Diheptyl Succinate adalah bahan berbasis tanaman yang berfungsi sebagai emolien alami dan alternatif berkelanjutan untuk silikon ringan. Bahan ini bekerja dengan membentuk lapisan pelindung halus di atas kulit untuk mengunci kelembapan tanpa rasa lengket atau berminyak. Sering dikombinasikan dengan bahan lain untuk meningkatkan tekstur produk, Diheptyl Succinate membantu mengurangi rasa greasy dari minyak alami, memberikan hasil akhir yang lembut, serta meningkatkan daya sebar formula. Karena sifatnya yang ramah lingkungan dan biodegradable, bahan ini menjadi pilihan populer dalam produk kecantikan bersih untuk memberikan sensasi kulit yang nyaman dan kenyal.",Normal
diisopropyl-adipate,Diisopropyl Adipate,,"emollient, solvent","Diisopropyl Adipate adalah cairan ester yang berfungsi sebagai emolien dan pelarut multifungsi dalam produk kosmetik. Bahan ini dikenal karena teksturnya yang sangat ringan, tidak berminyak, dan kemampuannya untuk mengurangi rasa lengket dari bahan oklusif yang lebih berat. Sebagai emolien, ia membantu menjaga kelembapan kulit dengan membentuk lapisan pelindung yang halus, sementara sebagai pelarut, ia membantu melarutkan bahan aktif seperti filter UV dalam tabir surya agar tersebar merata. Selain meningkatkan daya sebar dan penyerapan produk, Diisopropyl Adipate memberikan hasil akhir yang sutra (silky) dan matte, menjadikannya bahan populer dalam losion, krim, serta produk perawatan setelah bercukur.",Normal
diisopropyl-dimer-dilinoleate,Diisopropyl Dimer Dilinoleate,,emollient,"Diisopropyl Dimer Dilinoleate adalah cairan emolien berbasis minyak yang memberikan tekstur lembut, halus, dan tidak lengket pada produk kosmetik. Bahan ini merupakan diester dari alkohol isopropil dan asam dilinoleat yang berfungsi untuk mengunci kelembapan dengan membentuk lapisan pelindung di atas kulit, sehingga efektif untuk mengatasi kulit kering dan memperbaiki tekstur kulit yang kasar. Karena kemampuannya dalam memberikan efek kilau tinggi (high gloss) dan daya sebar yang baik, bahan ini sangat populer digunakan dalam produk riasan seperti lipstik, lip gloss, dan foundation sebagai alternatif yang lebih ringan dari minyak kastor atau lanolin. Selain itu, bahan ini bersifat non-komedogenik dan aman digunakan untuk berbagai jenis kulit guna meningkatkan kenyamanan serta kemewahan saat aplikasi produk.",Normal
diisopropyl-sebacate,Diisopropyl Sebacate,,"emollient, solvent","Diisopropyl Sebacate adalah bahan multifungsi yang berfungsi sebagai emolien, pelarut, dan bahan pengkondisi kulit dalam berbagai produk kosmetik. Sebagai ester sintetis, bahan ini dikenal karena teksturnya yang sangat ringan, tidak lengket, dan kemampuannya untuk meningkatkan daya sebar (spreadability) produk tanpa meninggalkan residu berminyak. Dalam perawatan kulit, ia bekerja melembutkan kulit, memperkuat sawar kulit (skin barrier), dan membantu menyeimbangkan produksi minyak, sehingga cocok untuk semua jenis kulit termasuk kulit berminyak atau rentan berjerawat. Selain itu, Diisopropyl Sebacate sering digunakan dalam tabir surya untuk meningkatkan ketahanan terhadap air serta dalam produk perawatan rambut untuk memberikan kilau dan kelembutan ekstra. Karena kemampuannya yang menyerupai silikon namun dengan sensasi yang lebih segar, bahan ini menjadi pilihan populer untuk menciptakan formula yang nyaman dan cepat meresap.",Normal
diisostearoyl-polyglyceryl-3-dimer-dilinoleate,Diisostearoyl Polyglyceryl-3 Dimer Dilinoleate,,emollient,"Diisostearoyl Polyglyceryl-3 Dimer Dilinoleate adalah bahan berbasis tanaman yang berfungsi sebagai emolien dan agen pengkondisi kulit yang sangat efektif. Bahan ini dikenal karena kemampuannya dalam memberikan kelembapan yang mendalam, meningkatkan hidrasi, serta memberikan tekstur yang halus dan lembut pada produk kosmetik. Selain itu, bahan ini sering digunakan dalam formulasi perawatan bibir dan kulit kering karena kemampuannya untuk membentuk lapisan pelindung yang tahan lama tanpa rasa lengket, sekaligus membantu meningkatkan kilau dan stabilitas emulsi dalam produk.",Normal
dilinoleic-acid-propanediol-copolymer,Dilinoleic Acid/​Propanediol Copolymer,,"emollient, viscosity controlling","Dilinoleic Acid/Propanediol Copolymer adalah polimer nabati 100% yang berasal dari asam dilinoleat dan propanediol, sering kali diekstrak dari minyak nabati seperti argan, bunga matahari, dan kanola. Dalam produk perawatan kulit dan kosmetik, bahan ini berfungsi utama sebagai emolien dan pengatur kekentalan yang memberikan efek menghaluskan serta melembutkan kulit. Bahan ini sangat populer dalam produk bibir seperti lipstik dan lip oil karena memberikan tampilan kilau (glossy) yang indah, memiliki daya rekat yang baik, serta bersifat tahan air sehingga meningkatkan ketahanan produk pada kulit.",Normal
dimethicone,Dimethicone,,emollient,"Dimethicone adalah salah satu jenis silikon yang paling umum digunakan dalam produk perawatan kulit karena kemampuannya untuk menciptakan lapisan pelindung non-komedogenik di atas permukaan kulit. Berfungsi sebagai emolien, bahan ini bekerja dengan mengisi celah di antara sel-sel kulit untuk memberikan tekstur yang halus, lembut, dan kenyal seketika. Selain kemampuannya dalam mengunci kelembapan dan mencegah kehilangan air trans-epidermal (TEWL), dimethicone juga efektif untuk menenangkan kulit yang teriritasi, mengurangi tampilan garis halus, serta memberikan hasil akhir matte yang membantu menyamarkan pori-berpori tanpa rasa lengket.",Normal
dimethicone-crosspolymer,Dimethicone Crosspolymer,,"viscosity controlling, emulsion stabilising","Dimethicone Crosspolymer adalah polimer berbasis silikon yang berfungsi sebagai pengental, pengemulsi, dan penstabil emulsi dalam produk kosmetik. Bahan ini sering dicampur dengan cairan silikon lain untuk memberikan tekstur yang halus, sutra (silky), dan memudahkan penyebaran produk pada kulit. Selain meningkatkan sensori penggunaan, ia juga membentuk lapisan pelindung non-oklusif yang membantu mengunci kelembapan tanpa menyumbat pori-pori (non-comedogenic), sehingga umum ditemukan dalam primer, tabir surya, dan pelembap.",Normal
dimethicone-peg-10-15-crosspolymer,Dimethicone/​PEG-10/​15 Crosspolymer,,emulsifying,"Dimethicone/PEG-10/15 Crosspolymer adalah silikon yang dimodifikasi secara khusus untuk berfungsi sebagai pengemulsi utama dalam pembuatan emulsi air-dalam-silikon. Bahan ini memungkinkan pembuatan tekstur gel-krim yang unik, ringan, dan memberikan sensasi dingin yang menyegarkan saat diaplikasikan ke kulit. Selain kemampuannya dalam menyatukan fase minyak dan air, bahan ini juga berfungsi sebagai agen pengkondisi kulit yang memberikan hasil akhir yang sangat halus, lembut, dan tidak berminyak, sehingga sering digunakan dalam pelembap modern, tabir surya, dan produk riasan wajah.",Normal
dimethicone-vinyl-dimethicone-crosspolymer,Dimethicone/​Vinyl Dimethicone Crosspolymer,,viscosity controlling,"Dimethicone/Vinyl Dimethicone Crosspolymer adalah polimer silikon sintetis yang berfungsi utama sebagai penambah tekstur dan agen pengontrol viskositas dalam produk kosmetik. Bahan ini memberikan sensasi yang sangat halus, lembut, dan selembut sutra (silky feel) pada kulit, serta membantu menyamarkan tampilan pori-pori dan garis halus dengan efek soft-focus. Selain kemampuannya untuk meningkatkan daya oles produk, bahan ini juga efektif dalam menyerap minyak berlebih (sebum), memberikan hasil akhir matte, dan membentuk lapisan pelindung yang membantu menjaga kelembapan kulit tanpa rasa lengket atau berat.",Berminyak
dimethiconol,Dimethiconol,,"emollient, moisturizer/humectant","Dimethiconol, juga dikenal sebagai silicone gum, adalah jenis silikon termodifikasi yang berfungsi sebagai emolien dan agen pengkondisi kulit maupun rambut. Bahan ini bekerja dengan membentuk lapisan pelindung yang berpori (breathable) di atas permukaan kulit untuk mengunci kelembapan, mencegah dehidrasi, serta melindungi dari polutan lingkungan tanpa memberikan rasa lengket atau berminyak. Dalam produk kosmetik, Dimethiconol sangat dihargai karena kemampuannya dalam memperbaiki tekstur formula agar lebih mudah diratakan, memberikan hasil akhir yang halus dan sutra, serta mampu menyamarkan garis halus secara sementara dengan efek plumping. Selain manfaatnya untuk kulit, bahan ini sering ditemukan dalam perawatan rambut untuk memberikan kilau instan, mengurangi kusut, dan memperbaiki tampilan rambut yang rusak.",Normal
