Ingredient,Jenis Kulit Cocok,Alasan Jenis Kulit Cocok,Jenis Kulit Tidak Cocok,Alasan Jenis Kulit Tidak Cocok,Masalah Kulit Cocok,Alasan Masalah Kulit Cocok,Masalah Kulit Tidak Cocok,Alasan Masalah Kulit Tidak Cocok,Masalah Kulit Evidence Strength,Masalah Kulit Contraindication Strength,Jenis Kulit Contraindication Strength,Evidence Level / Catatan (Jenis Kulit)
Cholesteryl Isostearate,"Normal, Berminyak, Kering, Kombinasi",Ester kolesterol yang berfungsi sebagai emollient dan membantu memperkuat skin barrier.,-,-,Kemerahan,Membantu mengurangi kehilangan air (TEWL) dan memperbaiki fungsi skin barrier.,-,-,Kemerahan: Supportive,-,,
Cholesteryl Chloride,"Normal, Berminyak, Kering, Kombinasi",Turunan kolesterol yang membantu menjaga integritas lipid kulit dan meningkatkan kelembapan.,-,-,Kemerahan,Membantu memperkuat skin barrier dan menjaga hidrasi kulit.,-,-,Kemerahan: Supportive,-,,
Cholesteryl Nonanoate,"Normal, Berminyak, Kering, Kombinasi",Ester kolesterol yang berfungsi sebagai skin conditioning agent dan emollient.,-,-,-,-,-,-,-,-,,
Biosaccharide Gum-2,"Normal, Berminyak, Kering, Kombinasi",Polisakarida yang membantu menenangkan kulit dan mendukung fungsi skin barrier.,-,-,Kemerahan,Memiliki efek soothing dan membantu mengurangi inflamasi ringan sekaligus meningkatkan hidrasi kulit.,-,-,Kemerahan: Supportive,-,,
Aminopropyl Ascorbyl Phosphate,"Normal, Berminyak, Kering, Kombinasi",Turunan vitamin C yang stabil dengan aktivitas antioksidan dan brightening.,-,-,"PIH, Kusam, Aging","Membantu menghambat pembentukan melanin, melindungi dari radikal bebas, dan mendukung sintesis kolagen.",-,-,PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
Geranium Robertianum Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung flavonoid dan polifenol yang memberikan aktivitas antioksidan dan anti-inflamasi.,-,-,Kemerahan,Membantu melindungi kulit dari stres oksidatif dan menenangkan kulit.,-,-,Kemerahan: Supportive,-,,
Thymus Serpyllum Extract,"Normal, Berminyak, Kombinasi",Mengandung thymol dan senyawa antimikroba alami yang membantu mengontrol mikroorganisme pada kulit.,Kering,Berpotensi terasa lebih mengiritasi pada kulit yang sangat kering atau sensitif.,Berjerawat,Membantu menghambat pertumbuhan bakteri dan mengurangi inflamasi ringan pada kulit acne-prone.,Kemerahan,Pada kulit sensitif dapat meningkatkan risiko iritasi karena kandungan minyak atsiri.,Berjerawat: Supportive,Kemerahan: Moderate,,Ekstrak herbal; evidence spesifik untuk efek kering masih terbatas.
Alpinia Katsumadai Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya flavonoid dan senyawa antioksidan yang membantu menjaga kesehatan kulit.,-,-,Kusam,Membantu melindungi kulit dari kerusakan akibat radikal bebas dan mendukung tampilan kulit yang lebih cerah.,-,-,Kusam: Supportive,-,,
Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein,"Normal, Berminyak, Kering, Kombinasi",Protein kedelai terhidrolisis yang membantu meningkatkan kelembapan dan memberikan efek skin conditioning.,-,-,-,-,-,-,-,-,,
Fucus Vesiculosus Extract,"Normal, Berminyak, Kering, Kombinasi","Ekstrak rumput laut yang kaya polisakarida, mineral, dan antioksidan sehingga membantu menjaga hidrasi serta kesehatan kulit.",-,-,Kusam,"Membantu melindungi kulit dari radikal bebas, menjaga kelembapan, dan meningkatkan kondisi skin barrier.",-,-,Kusam: Supportive,-,,
Opuntia Ficus-Indica Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak kaktus yang kaya polisakarida dan antioksidan sehingga membantu mempertahankan hidrasi kulit.,-,-,Kemerahan,"Membantu menenangkan kulit, meningkatkan hidrasi, dan memperkuat skin barrier.",-,-,Kemerahan: Supportive,-,,
Citrus Reticulata Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya vitamin dan antioksidan yang membantu melindungi kulit dari stres oksidatif.,-,-,Kusam,Membantu meningkatkan tampilan kulit yang lebih cerah dan melindungi dari radikal bebas.,-,-,Kusam: Supportive,-,,
Dicaprylyl Ether,"Normal, Berminyak, Kering, Kombinasi",Emollient ringan yang membantu melembutkan kulit serta mengurangi kehilangan air dari permukaan kulit.,-,-,Kemerahan,Membantu menjaga hidrasi dan mendukung fungsi skin barrier.,-,-,Kemerahan: Supportive,-,,
Prunus Amygdalus Dulcis (Sweet Almond) Oil,"Normal, Kering, Kombinasi",Kaya asam lemak dan vitamin E yang membantu melembapkan serta memperbaiki skin barrier.,Berminyak,Pada kulit yang sangat berminyak dapat terasa lebih oklusif.,Kusam,"Membantu meningkatkan kelembapan, kelembutan, dan elastisitas kulit.",Berjerawat,Pada sebagian individu acne-prone dapat meningkatkan risiko pori tersumbat karena sifat emollient-nya.,Kusam: Supportive,Berjerawat: Low,Berminyak: Low,Minyak nabati dengan rating komedogenik rendah-moderat (~2) pada tabel klasik; evidence klinis spesifik terbatas.
Isopropyl Myristate,"Normal, Kering",Emollient yang sangat baik dalam melembapkan dan melembutkan kulit serta mengurangi kehilangan air (TEWL).,"Berminyak, Kombinasi",Memiliki tingkat komedogenisitas yang relatif tinggi sehingga berpotensi menyumbat pori pada kulit yang mudah berminyak.,Kusam,"Membantu menjaga kelembapan, meningkatkan kelembutan, dan memperbaiki tekstur kulit.",Berjerawat,Dapat meningkatkan risiko pembentukan komedo dan memperburuk jerawat pada kulit acne-prone.,Kusam: Supportive,Berjerawat: High,Berminyak: High; Kombinasi: Moderate,"Salah satu ester yang paling konsisten dan luas terdokumentasi sebagai komedogenik dalam studi klasik (rabbit ear assay, uji komedogenisitas manusia); rutin disebutkan dalam panduan skincare acne-prone/berminyak."
Isopropyl Isostearate,"Normal, Kering",Emollient yang membantu melembapkan kulit dan mengurangi kehilangan air (TEWL).,Berminyak,Bersifat cukup oklusif sehingga dapat terasa berat pada kulit yang sangat berminyak.,Kusam,Membantu menjaga kelembapan dan membuat kulit terasa lebih lembut.,Berjerawat,Pada sebagian individu acne-prone berpotensi meningkatkan risiko pori tersumbat karena sifat emollient-nya.,Kusam: Supportive,Berjerawat: High,Berminyak: Moderate,Ester dari keluarga yang sama dengan isopropyl myristate namun dengan rating komedogenik yang dilaporkan lebih rendah dan evidence yang kurang ekstensif.
Behenyl Alcohol,"Normal, Berminyak, Kering, Kombinasi",Fatty alcohol yang membantu melembapkan kulit dan memperbaiki skin barrier.,-,-,Kemerahan,Membantu mempertahankan hidrasi dan meningkatkan kelembutan kulit.,-,-,Kemerahan: Supportive,-,,
Sucrose Polysoyate,"Normal, Berminyak, Kering, Kombinasi",Emollient berbasis sukrosa dan minyak kedelai yang membantu melembapkan serta memperbaiki skin barrier.,-,-,-,-,-,-,-,-,,
Myristyl Alcohol,"Normal, Kering, Kombinasi",Fatty alcohol yang berfungsi sebagai emollient dan membantu memperkuat skin barrier tanpa efek mengeringkan seperti simple alcohol.,Berminyak,Pada kulit yang sangat berminyak dapat terasa lebih berat karena sifat emollient-nya.,Kemerahan,Membantu mengurangi kehilangan air (TEWL) dan menjaga kelembapan kulit.,-,-,Kemerahan: Supportive,-,Berminyak: Moderate,"Fatty alcohol dengan rating komedogenik lebih tinggi dibanding cetyl/stearyl alcohol pada tabel klasik, meski evidence-nya tidak seluas ester seperti IPM."
Myristyl Myristate,"Normal, Kering",Emollient yang memberikan kelembutan dan membantu mempertahankan kelembapan kulit.,Berminyak,Memiliki komedogenisitas relatif tinggi sehingga dapat terasa terlalu oklusif pada kulit berminyak.,Kusam,Membantu memperbaiki tekstur kulit dan menjaga kelembapan.,Berjerawat,Berpotensi meningkatkan risiko penyumbatan pori pada kulit acne-prone.,Kusam: Supportive,Berjerawat: Moderate,Berminyak: High,Ester dengan rating komedogenik tertinggi (mendekati skala maksimal) pada tabel komedogenisitas klasik era Kligman; salah satu ester yang paling konsisten dilaporkan bermasalah untuk kulit berminyak/acne-prone.
Cera Microcristallina (Microcrystalline Wax),"Normal, Kering",Oklusif yang membantu membentuk lapisan pelindung untuk mengurangi kehilangan air dari kulit.,Berminyak,Dapat terasa sangat berat dan oklusif pada kulit berminyak.,Kemerahan,Membantu memperbaiki skin barrier dan menjaga kelembapan kulit.,Berjerawat,Pada sebagian individu acne-prone dapat memperburuk penyumbatan pori karena sifat oklusifnya.,Kemerahan: Supportive,Berjerawat: Low,Berminyak: Low,"Wax oklusif; kekhawatiran penyumbatan pori bersifat teoritis, evidence klinis langsung terbatas pada level formulasi umum."
Lanolin Alcohol (Eucerit),"Normal, Kering",Emollient yang membantu melembapkan dan memperbaiki skin barrier.,Berminyak,Bersifat cukup oklusif sehingga dapat terasa berat pada kulit berminyak.,Kemerahan,Membantu mengurangi kehilangan air dan memperbaiki skin barrier.,Berjerawat,Pada sebagian individu acne-prone atau sensitif dapat menyebabkan komedo atau dermatitis kontak karena berasal dari lanolin.,Kemerahan: Supportive,Berjerawat: Moderate,Berminyak: Moderate,Turunan lanolin memiliki potensi komedogenik dan alergenik yang cukup konsisten dilaporkan dalam literatur komedogenisitas.
Octyl Palmitate,"Normal, Kering",Emollient yang memberikan kelembapan dan tekstur halus pada kulit.,Berminyak,Memiliki potensi komedogenik sehingga dapat terasa terlalu oklusif pada kulit berminyak.,Kusam,Membantu menjaga kelembapan dan memperbaiki tekstur kulit.,Berjerawat,Dapat meningkatkan risiko penyumbatan pori pada kulit acne-prone.,Kusam: Supportive,Berjerawat: Moderate,Berminyak: Low,Ester dengan rating komedogenik rendah (lebih rendah dari isopropyl myristate/myristyl myristate) pada tabel klasik.
Persea Gratissima (Avocado) Oil,"Normal, Kering, Kombinasi","Kaya asam lemak esensial, vitamin A, D, dan E sehingga membantu memperbaiki skin barrier dan melembapkan kulit.",Berminyak,Kandungan minyaknya dapat terasa berat pada kulit yang sangat berminyak.,Kemerahan,"Membantu memperbaiki skin barrier, meningkatkan elastisitas, dan mengurangi inflamasi ringan.",Berjerawat,Pada sebagian individu acne-prone dapat meningkatkan risiko komedo karena sifat emollient yang cukup oklusif.,Kemerahan: Supportive,Berjerawat: Moderate,Berminyak: Moderate,Kandungan oleic acid tinggi dengan rating komedogenik moderat (~3) pada tabel klasik.
Glyceryl Linoleate,"Normal, Berminyak, Kering, Kombinasi",Ester linoleic acid yang membantu memperbaiki skin barrier dan menjaga kelembapan kulit.,-,-,Berjerawat,Membantu memperbaiki fungsi skin barrier dan mendukung keseimbangan lipid kulit.,-,-,Berjerawat: Supportive,-,,
Glyceryl Oleate,"Normal, Kering, Kombinasi",Emollient yang membantu melembapkan kulit dan memperbaiki skin barrier.,Berminyak,Dapat terasa lebih berat pada kulit yang sangat berminyak.,-,-,Berjerawat,Pada sebagian individu acne-prone dapat meningkatkan risiko pori tersumbat.,-,Berjerawat: Low,Berminyak: Low,"Emulsifier/emolien ester; evidence komedogenisitas spesifik terbatas, bersifat teoritis."
Glyceryl Palmitate,"Normal, Kering",Emollient yang membantu mengurangi kehilangan air dan meningkatkan kelembutan kulit.,Berminyak,Bersifat cukup oklusif sehingga dapat terasa berat pada kulit berminyak.,-,-,Berjerawat,Berpotensi meningkatkan komedo pada kulit acne-prone.,-,Berjerawat: Low,Berminyak: Low,Emulsifier; evidence komedogenisitas spesifik terbatas.
Ethyl Hexanediol,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang membantu mempertahankan kelembapan kulit.,-,-,Kusam,Membantu meningkatkan hidrasi kulit dan menjaga kelembutan kulit.,-,-,Kusam: Supportive,-,,
Glyceryl Linolenate,"Normal, Berminyak, Kering, Kombinasi",Ester α-linolenic acid yang membantu memperbaiki skin barrier dan memiliki aktivitas antioksidan ringan.,-,-,Berjerawat,Membantu memperkuat skin barrier dan mengurangi inflamasi ringan.,-,-,Berjerawat: Supportive,-,,
Glycine Soja (Soybean) Oil,"Normal, Kering, Kombinasi",Kaya asam lemak esensial dan vitamin E sehingga membantu memperbaiki skin barrier dan menjaga kelembapan kulit.,Berminyak,Dapat terasa cukup oklusif pada kulit yang sangat berminyak.,Kusam,Membantu meningkatkan elastisitas kulit dan memberikan perlindungan antioksidan.,Berjerawat,Pada sebagian individu acne-prone dapat meningkatkan risiko pori tersumbat.,Kusam: Supportive,Berjerawat: Low,Berminyak: Low,"Minyak nabati dengan rating komedogenik rendah (~1-2) pada tabel klasik, lebih rendah dari olive/avocado oil."
Avena Sativa (Oat) Kernel Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya beta-glukan, avenanthramides, dan antioksidan yang membantu menenangkan serta memperkuat skin barrier.",-,-,"Kemerahan, Berjerawat, PIE","Membantu mengurangi inflamasi, mempercepat pemulihan skin barrier, serta melindungi kulit dari stres oksidatif.",-,-,Kemerahan: Primary; Berjerawat: Supportive; PIE: Supportive,-,,
Chondrus Crispus Powder,"Normal, Berminyak, Kering, Kombinasi",Serbuk rumput laut merah yang kaya polisakarida dan mineral sehingga membantu mempertahankan hidrasi kulit.,-,-,Kemerahan,"Membantu meningkatkan kelembapan, memperkuat skin barrier, dan memberikan efek soothing.",-,-,Kemerahan: Supportive,-,,
Agar,"Normal, Berminyak, Kering, Kombinasi",Polisakarida alami dari rumput laut yang membantu membentuk lapisan pelindung serta mempertahankan kelembapan kulit.,-,-,Kusam,Membantu menjaga hidrasi dan memberikan efek skin conditioning.,-,-,Kusam: Supportive,-,,
Jojoba Esters,"Normal, Berminyak, Kering, Kombinasi",Ester jojoba yang membantu melembapkan kulit tanpa terasa berat serta mendukung fungsi skin barrier.,-,-,Kemerahan,Membantu mengurangi kehilangan air (TEWL) dan menjaga kelembapan kulit.,-,-,Kemerahan: Supportive,-,,
Arachidyl Alcohol,"Normal, Berminyak, Kering, Kombinasi",Fatty alcohol yang berfungsi sebagai emollient dan membantu memperkuat skin barrier.,-,-,Kemerahan,Membantu menjaga kelembapan dan meningkatkan kelembutan kulit.,-,-,Kemerahan: Supportive,-,,
Tranexamoyl Dipeptide-23,"Normal, Berminyak, Kering, Kombinasi",Peptida turunan tranexamic acid yang dikembangkan untuk membantu mencerahkan kulit dan mengurangi hiperpigmentasi dengan risiko iritasi lebih rendah.,-,-,"PIH, Kusam",Membantu menghambat pembentukan melanin sehingga mendukung efek brightening dan memudarkan bekas hiperpigmentasi.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Leontopodium Alpinum Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak Edelweiss yang kaya antioksidan dan senyawa anti-inflamasi sehingga membantu melindungi kulit dari stres oksidatif.,-,-,Kemerahan,Membantu mengurangi inflamasi ringan dan melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kemerahan: Supportive,-,,
Deoxyphytantriyl Palmitamide MEA,"Normal, Berminyak, Kering, Kombinasi",Lipid biomimetik (pseudo-ceramide) yang membantu memperbaiki skin barrier dan mempertahankan kelembapan kulit.,-,-,"Kemerahan, PIE","Membantu memperkuat skin barrier, mengurangi kehilangan air, dan menenangkan kulit yang mengalami inflamasi.",-,-,Kemerahan: Supportive; PIE: Supportive,-,,
Sophora Flavescens Root Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya alkaloid dan flavonoid dengan aktivitas antioksidan dan anti-inflamasi.,-,-,"Berjerawat, Kemerahan","Membantu mengurangi inflamasi, melindungi kulit dari radikal bebas, dan mendukung pemulihan kulit.",-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Ophiopogon Japonicus Root Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung polisakarida yang membantu mempertahankan hidrasi dan menenangkan kulit.,-,-,Kemerahan,Membantu memperbaiki skin barrier dan menjaga kelembapan kulit.,-,-,Kemerahan: Supportive,-,,
Panicum Miliaceum (Millet) Seed Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya asam amino, mineral, dan antioksidan yang membantu menjaga kesehatan kulit.",-,-,Kusam,Membantu meningkatkan elastisitas kulit dan melindungi dari stres oksidatif.,-,-,Kusam: Supportive,-,,
Hibiscus Abelmoschus Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung antioksidan dan senyawa bioaktif yang membantu menjaga elastisitas kulit.,-,-,-,-,-,-,-,-,,
Pyrus Cydonia Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya polisakarida yang membantu mempertahankan kelembapan dan memberikan efek skin conditioning.,-,-,Kemerahan,Membantu meningkatkan hidrasi dan menenangkan kulit.,-,-,Kemerahan: Supportive,-,,
Secale Cereale (Rye) Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung peptida alami dan antioksidan yang membantu menjaga elastisitas kulit.,-,-,-,-,-,-,-,-,,
Castanea Sativa (Chestnut) Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya polifenol dan antioksidan yang membantu menjaga kesehatan kulit.,-,-,Kemerahan,Membantu melindungi kulit dari stres oksidatif dan mendukung skin barrier.,-,-,Kemerahan: Supportive,-,,
Vaccinium Angustifolium (Blueberry) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antosianin dan antioksidan yang membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam,Membantu menjaga kesehatan kulit dan meningkatkan perlindungan antioksidan.,-,-,Kusam: Supportive,-,,
Gentiana Scabra Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung iridoid dan flavonoid dengan aktivitas antioksidan dan anti-inflamasi.,-,-,Kemerahan,Membantu menenangkan kulit dan melindungi dari kerusakan akibat radikal bebas.,-,-,Kemerahan: Supportive,-,,
Chlorella Vulgaris Extract,"Normal, Berminyak, Kering, Kombinasi","Mikroalga yang kaya asam amino, peptida, vitamin, dan antioksidan sehingga membantu menjaga vitalitas kulit.",-,-,Kusam,Membantu melindungi kulit dari stres oksidatif serta mendukung regenerasi kulit.,-,-,Kusam: Supportive,-,,
Matrine,"Normal, Berminyak, Kombinasi",Alkaloid alami dari Sophora yang memiliki aktivitas anti-inflamasi dan antimikroba.,Kering,Pada kulit yang sangat kering dapat terasa lebih mengiritasi karena aktivitas biologisnya.,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi dan mendukung pengendalian bakteri penyebab jerawat.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,Alkaloid dari Sophora flavescens; evidence dermatologi spesifik untuk efek kering pada kulit sangat terbatas.
Diethoxyethyl Succinate,"Normal, Berminyak, Kering, Kombinasi",Emollient ringan yang membantu memberikan sensasi kulit halus tanpa rasa berminyak berlebih.,-,-,Berjerawat,Membantu mengontrol minyak berlebih yang berperan dalam pembentukan jerawat.,-,-,Berjerawat: Supportive,-,,
Glycerophosphoinositol Choline,"Normal, Berminyak, Kering, Kombinasi",Molekul biomimetik dengan aktivitas anti-inflamasi yang membantu menenangkan kulit dan memperkuat skin barrier.,-,-,"Kemerahan, PIE","Membantu mengurangi inflamasi, mempercepat pemulihan skin barrier, dan meningkatkan hidrasi kulit.",-,-,Kemerahan: Supportive; PIE: Supportive,-,,
Silver Oxide,"Berminyak, Kombinasi",Memiliki aktivitas antimikroba yang membantu menghambat pertumbuhan mikroorganisme pada permukaan kulit.,Kering,Penggunaan pada kulit yang sangat kering atau sensitif berpotensi meningkatkan iritasi.,Berjerawat,Membantu mengurangi jumlah bakteri pada kulit sehingga mendukung perawatan kulit berjerawat.,Kemerahan,Pada sebagian individu dapat menyebabkan iritasi atau sensitisasi.,Berjerawat: Supportive,Kemerahan: Low,,Agen antimikroba; tidak ditemukan mekanisme atau evidence spesifik terkait efek kering pada kulit.
Phaeodactylum Tricornutum Extract,"Normal, Berminyak, Kering, Kombinasi","Mikroalga laut yang kaya fucoxanthin, asam lemak omega-3, dan antioksidan sehingga membantu melindungi kulit dari stres oksidatif.",-,-,Kemerahan,"Membantu mengurangi kerusakan akibat radikal bebas, mendukung skin barrier, dan memberikan efek soothing.",-,-,Kemerahan: Supportive,-,,
Sodium Ascorbate,"Normal, Berminyak, Kering, Kombinasi",Turunan vitamin C yang bersifat antioksidan dan membantu mencerahkan kulit.,-,-,"PIH, Kusam, Aging","Membantu menghambat pembentukan melanin, melindungi kulit dari radikal bebas, dan mendukung sintesis kolagen.",-,-,PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
Actinidia Deliciosa (Kiwi) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya vitamin C, vitamin E, dan polifenol yang membantu melindungi kulit dari stres oksidatif.",-,-,"Kusam, PIH, Aging","Membantu mencerahkan kulit, melindungi kolagen, dan memberikan aktivitas antioksidan.",-,-,Kusam: Supportive; PIH: Supportive; Aging: Supportive,-,,
Sophora Angustifolia Root Extract,"Normal, Berminyak, Kombinasi",Mengandung alkaloid (seperti matrine dan oxymatrine) yang memiliki aktivitas anti-inflamasi dan antimikroba.,Kering,Pada kulit yang sangat kering atau sensitif berpotensi meningkatkan iritasi.,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi dan mendukung pengendalian bakteri penyebab jerawat.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,Ekstrak herbal; evidence dermatologi spesifik masih terbatas.
Rubus Idaeus (Raspberry) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya vitamin C, vitamin E, ellagic acid, dan antioksidan yang membantu melindungi kulit dari radikal bebas.",-,-,Kusam,Membantu meningkatkan perlindungan antioksidan dan membuat kulit tampak lebih cerah.,-,-,Kusam: Supportive,-,,
Citrus Limon (Lemon) Fruit Extract,"Normal, Berminyak, Kombinasi",Kaya vitamin C dan asam sitrat yang membantu mencerahkan kulit serta memberikan aktivitas antioksidan.,Kering,Kandungan asam alami dapat meningkatkan risiko iritasi pada kulit yang sangat kering atau skin barrier terganggu.,"PIH, Kusam",Membantu mendukung proses brightening dan mengurangi hiperpigmentasi ringan.,Kemerahan,Pada kulit sensitif dapat menyebabkan rasa perih atau iritasi.,PIH: Supportive; Kusam: Supportive,Kemerahan: Low,,
Acer Saccharum (Sugar Maple) Extract,"Normal, Berminyak, Kombinasi",Mengandung AHA alami yang membantu eksfoliasi ringan dan memperbaiki tekstur kulit.,Kering,Eksfoliasi dapat memperburuk kekeringan atau meningkatkan sensitivitas kulit.,"Kusam, PIH",Membantu mengangkat sel kulit mati sehingga kulit tampak lebih cerah dan warna kulit lebih merata.,Kemerahan,Pada kulit sensitif dapat meningkatkan iritasi setelah eksfoliasi.,Kusam: Supportive; PIH: Supportive,Kemerahan: Low,,"Ekstrak sumber AHA alami; sifat asam ringan berpotensi teoritis mengeringkan, namun evidence terpublikasi spesifik masih sangat terbatas."
Polyglutamic Acid,"Normal, Berminyak, Kering, Kombinasi",Humectant dengan kemampuan mengikat air yang sangat tinggi sehingga membantu mempertahankan hidrasi kulit dan memperkuat skin barrier.,-,-,Kemerahan,"Membantu meningkatkan hidrasi, mengurangi TEWL, dan menjaga elastisitas kulit.",-,-,Kemerahan: Supportive,-,,
Artemisia Vulgaris Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya flavonoid dan senyawa antioksidan yang membantu menenangkan kulit serta mendukung skin barrier.,-,-,"Kemerahan, Berjerawat","Membantu mengurangi inflamasi, meredakan kemerahan, dan melindungi kulit dari radikal bebas.",-,-,Kemerahan: Supportive; Berjerawat: Supportive,-,,
Morus Alba Bark Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya flavonoid dan senyawa pencerah alami yang membantu menghambat pembentukan melanin.,-,-,"PIH, Kusam",Membantu mengurangi hiperpigmentasi dan membuat warna kulit tampak lebih merata.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Broussonetia Papyrifera Bark Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa antioksidan dan inhibitor tirosinase alami yang mendukung efek brightening.,-,-,"PIH, Kusam",Membantu mengurangi pembentukan melanin dan mencerahkan kulit.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Rhus Semialata Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya tanin dan polifenol dengan aktivitas antioksidan dan anti-inflamasi.,-,-,Kemerahan,Membantu melindungi kulit dari stres oksidatif dan mengurangi inflamasi ringan.,-,-,Kemerahan: Supportive,-,,
Pyrus Malus (Apple) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi","Mengandung polifenol, vitamin, dan antioksidan yang membantu menjaga kesehatan kulit.",-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan meningkatkan tampilan kulit yang lebih segar.,-,-,Kusam: Supportive,-,,
Phragmites Communis Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa bioaktif yang membantu menenangkan kulit dan memperkuat skin barrier.,-,-,Kemerahan,Membantu meredakan iritasi dan mendukung pemulihan skin barrier.,-,-,Kemerahan: Supportive,-,,
Poria Cocos Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung polisakarida dan triterpenoid yang memiliki aktivitas antioksidan serta anti-inflamasi.,-,-,Kemerahan,Membantu menenangkan kulit dan melindungi dari kerusakan akibat radikal bebas.,-,-,Kemerahan: Supportive,-,,
Pectin,"Normal, Berminyak, Kering, Kombinasi",Polisakarida alami yang membantu membentuk lapisan pelindung dan mempertahankan kelembapan kulit.,-,-,Kemerahan,Membantu menjaga hidrasi dan mendukung fungsi skin barrier.,-,-,Kemerahan: Supportive,-,,
Bacillus Lysate,"Normal, Berminyak, Kering, Kombinasi",Lysate hasil fermentasi Bacillus yang membantu memperkuat skin barrier serta meningkatkan ketahanan kulit terhadap stres lingkungan.,-,-,Kemerahan,"Membantu memperbaiki skin barrier, meningkatkan hidrasi, dan mengurangi inflamasi ringan.",-,-,Kemerahan: Supportive,-,,
Chlorophyllin-Copper Complex,"Normal, Berminyak, Kombinasi",Memiliki aktivitas antioksidan dan anti-inflamasi serta membantu mengontrol bakteri pada kulit.,-,-,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi jerawat dan mempercepat pemulihan kulit.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Vitis Vinifera (Grape) Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya polifenol dan flavonoid yang memberikan perlindungan antioksidan bagi kulit.,-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan menjaga kesehatan kulit.,-,-,Kusam: Supportive,-,,
Lactobacillus Ferment,"Normal, Berminyak, Kering, Kombinasi",Ferment probiotik yang membantu menjaga keseimbangan mikrobioma kulit dan memperkuat skin barrier.,-,-,Kemerahan,"Membantu meningkatkan hidrasi, menenangkan kulit, dan mendukung pemulihan skin barrier.",-,-,Kemerahan: Supportive,-,,
Palmitoyl Pentapeptide-4,"Normal, Berminyak, Kering, Kombinasi",Peptida biomimetik yang membantu merangsang sintesis kolagen dan memperbaiki elastisitas kulit.,-,-,Aging,Membantu mengurangi tampilan garis halus dan meningkatkan kekencangan kulit.,-,-,Aging: Supportive,-,,
PEG-9 Diglycidyl Ether/Sodium Hyaluronate Crosspolymer,"Normal, Berminyak, Kering, Kombinasi",Bentuk crosslinked hyaluronic acid yang memberikan hidrasi lebih tahan lama dan membantu mempertahankan kelembapan kulit.,-,-,Kemerahan,"Membantu meningkatkan hidrasi, mengurangi kehilangan air (TEWL), serta mendukung perbaikan skin barrier.",-,-,Kemerahan: Supportive,-,,
Neopentyl Glycol Dicaprate,"Normal, Berminyak, Kering, Kombinasi",Emollient ringan yang memberikan kelembutan pada kulit tanpa rasa lengket serta membantu mengurangi kehilangan air dari permukaan kulit.,-,-,-,-,-,-,-,-,,
Betula Platyphylla Japonica Bark Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya betulin, polifenol, dan antioksidan yang membantu menenangkan kulit serta memperkuat skin barrier.",-,-,Kemerahan,Membantu mengurangi inflamasi dan melindungi kulit dari stres oksidatif.,-,-,Kemerahan: Supportive,-,,
